"CHEMBL3421961","Cc1cc(O)cc(C)c1C=C1C(=O)N(Cc2ccccc2)C(=O)N(Cc2ccccc2)C1=O",5.537602002,"train"
"CHEMBL3421945","COc1ccc(C=C2C(=O)N(Cc3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1",5.096910013,"train"
"7","C[C@H](C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)N[C@@]2(CCc3ccccc32)C1=O",6.004364805,"train"
"8","C[C@H](C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)N[C@@]2(CCc3ccccc32)C1=O",4.886056648,"train"
"CHEMBL3416526","COc1ccc(-c2nnc(SC3CC(=O)N(c4ccc(Cl)cc4)C3=O)[nH]2)cc1",5.552841969,"train"
"CHEMBL3421940","O=C1C(=Cc2ccc(O)cc2)C(=O)N(Cc2ccccc2)C(=O)N1Cc1ccccc1",5.677780705,"train"
"CHEMBL3416317","O=[N+]([O-])c1cc(Br)c2nsnc2c1Sc1ncnc2[nH]cnc12",5.657577319,"train"
"2","NS(=O)(=O)c1ccc(NC(=O)CN2C(=O)SC(=C3CCCCC3)C2=O)cc1",4.93930216,"train"
"CHEMBL2163599","CC(C)CN(Cc1cc(O)c2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1ccccn1",5.397940009,"train"
"CHEMBL2163597","CC1(C)C=Cc2cc(CN(C3CCCC3)S(=O)(=O)c3ccccn3)ccc2O1",5.397940009,"train"
"CHEMBL2163602","CC(C)CN(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1nccs1",5.301029996,"train"
"CHEMBL2163601","CC(C)CN(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1nccn1C",5.301029996,"train"
"CHEMBL2163595","CC1(C)C=Cc2cc(CN(CC3CC3)S(=O)(=O)c3ccccn3)ccc2O1",5.397940009,"train"
"CHEMBL3421950","COc1cc(C=C2C(=O)N(CC(C)C)C(=O)N(CC(C)C)C2=O)ccc1O",5.37675071,"train"
"CHEMBL2163592","CC(C)N(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1ccccn1",5.397940009,"train"
"CHEMBL2163593","CC1(C)C=Cc2cc(CN(C3CC3)S(=O)(=O)c3ccccn3)ccc2O1",5.397940009,"train"
"CHEMBL116438","COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O",5.187086643,"train"
"CHEMBL3416528","Cc1ccc(N2C(=O)CC(Sc3nncn3-c3ccccc3)C2=O)cc1",5.008773924,"train"
