"Name","SMILES","IC50 (nM)","pIC50"
"CHEMBL1797936","CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1",6800,5.167491087293764
"1","CC(C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)NC(Cc2c[nH]c3ccccc23)C1=O",5100,5.292429823902063
"9","CC(C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)NC2(CCc3cc(C#N)ccc32)C1=O",2500,5.6020599913279625
"CHEMBL3421943","COc1cc(C=C2C(=O)N(Cc3ccccc3)C(=O)N(Cc3ccccc3)C2=O)ccc1O",1500,5.823908740944319
"CHEMBL3421942","COc1ccc(C=C2C(=O)N(Cc3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1O",5900,5.229147988357856
"CHEMBL3421961","Cc1cc(O)cc(C)c1C=C1C(=O)N(Cc2ccccc2)C(=O)N(Cc2ccccc2)C1=O",2900,5.537602002101044
"CHEMBL2031566","O=C(O)CSc1cc(NS(=O)(=O)c2ccc(C(=O)O)cc2)c2ccccc2c1O",660,6.180456064458132
"CHEMBL3421941","O=C1C(=Cc2ccc(O)c(O)c2)C(=O)N(Cc2ccccc2)C(=O)N1Cc1ccccc1",1600,5.795880017344075
"CHEMBL3421945","COc1ccc(C=C2C(=O)N(Cc3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1",8000,5.096910013008056
"5","C[C@H](C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)N[C@@]2(CCc3ccccc32)C1=O",510,6.292429823902064
"7","C[C@H](C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)N[C@@]2(CCc3ccccc32)C1=O",990,6.00436480540245
"4","CC(C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)NC2(CCc3ccccc32)C1=O",1600,5.795880017344075
"6","C[C@H](C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)N[C@@]2(CCc3ccccc32)C1=O",5060,5.295849483160202
"8","C[C@H](C1CC1)N(Cc1ccccc1)C(=O)CN1C(=O)N[C@@]2(CCc3ccccc32)C1=O",13000,4.886056647693164
"CHEMBL3416526","COc1ccc(-c2nnc(SC3CC(=O)N(c4ccc(Cl)cc4)C3=O)[nH]2)cc1",2800,5.552841968657781
"CHEMBL3416537","O=S(=O)(Nc1cc(Cl)c(O)c2ccccc12)c1ccc(Br)cc1",1800,5.7447274948966935
"CHEMBL3421940","O=C1C(=Cc2ccc(O)cc2)C(=O)N(Cc2ccccc2)C(=O)N1Cc1ccccc1",2100,5.6777807052660805
"CHEMBL3416317","O=[N+]([O-])c1cc(Br)c2nsnc2c1Sc1ncnc2[nH]cnc12",2200,5.657577319177794
"2","NS(=O)(=O)c1ccc(NC(=O)CN2C(=O)SC(=C3CCCCC3)C2=O)cc1",11500,4.939302159646389
"CHEMBL2163598","COc1cc(CN(C(C)C)S(=O)(=O)c2ccccn2)cc2c1OC(C)(C)C=C2",5000,5.301029995663981
"CHEMBL2163599","CC(C)CN(Cc1cc(O)c2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1ccccn1",4000,5.3979400086720375
"CHEMBL2163603","CC(C)CN(Cc1cc(O)c2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1ccncc1",4000,5.3979400086720375
"CHEMBL3416552","CCN(CC)c1ccc2c(C)c(-c3ccc(N4C(=O)C=CC4=O)cc3)c(=O)oc2c1",260,6.585026652029182
"CHEMBL2163597","CC1(C)C=Cc2cc(CN(C3CCCC3)S(=O)(=O)c3ccccn3)ccc2O1",4000,5.3979400086720375
"CHEMBL2163602","CC(C)CN(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1nccs1",5000,5.301029995663981
"CHEMBL2163601","CC(C)CN(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1nccn1C",5000,5.301029995663981
"CHEMBL2163600","CC(C)CN(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1ccncc1",4000,5.3979400086720375
"CHEMBL2163594","CC(C)CN(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1ccccn1",5000,5.301029995663981
"CHEMBL3814752","C[C@@H]1CC(=O)Nc2cccc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2N1",51,7.292429823902063
"CHEMBL3416307","O=C(O)c1ccc(-n2nnnc2SC2=CS(=O)(=O)c3ccccc32)cc1",7500,5.1249387366083
"CHEMBL2163595","CC1(C)C=Cc2cc(CN(CC3CC3)S(=O)(=O)c3ccccn3)ccc2O1",4000,5.3979400086720375
"CHEMBL2163596","CC1(C)C=Cc2cc(CN(C3CCC3)S(=O)(=O)c3ccccn3)ccc2O1",4000,5.3979400086720375
"CHEMBL3416321","O=[N+]([O-])c1c(Sc2nnnn2-c2ccccc2)cc(Cl)c2nonc12",1100,5.9586073148417755
"CHEMBL3421950","COc1cc(C=C2C(=O)N(CC(C)C)C(=O)N(CC(C)C)C2=O)ccc1O",4200,5.376750709602099
"CHEMBL2163592","CC(C)N(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1ccccn1",4000,5.3979400086720375
"CHEMBL2163593","CC1(C)C=Cc2cc(CN(C3CC3)S(=O)(=O)c3ccccn3)ccc2O1",4000,5.3979400086720375
"CHEMBL140","COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O",6500,5.187086643357145
"CHEMBL116438","COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O",6500,5.187086643357145
"CHEMBL1795608","O=c1c2cc([N+](=O)[O-])cnc2sn1c1ccc(Oc2ccccc2)cc1",2430,5.614393726401689
"CHEMBL3416528","Cc1ccc(N2C(=O)CC(Sc3nncn3-c3ccccc3)C2=O)cc1",9800,5.008773924307505
"CHEMBL1795613","CCCCc1ccc(-n2sc3ncc(-c4ccccc4)cc3c2=O)cc1",8280,5.08196966321512
"CHEMBL1392315","O=c1c2ccccc2sn1-c1ccc(S(=O)(=O)N2CCCC2)cc1",8030,5.09528445472132
"CHEMBL3421948","CC(C)CN1C(=O)C(=Cc2ccc(O)c(O)c2)C(=O)N(CC(C)C)C1=O",5400,5.267606240177031
"CHEMBL33778","CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O",4150,5.3819519032879075
"CHEMBL3421947","CC(C)CN1C(=O)C(=Cc2ccc(O)cc2)C(=O)N(CC(C)C)C1=O",8500,5.070581074285707
"CHEMBL3416316","O=S1(=O)C=C(Sc2nnc(-c3ccncc3)o2)c2ccccc21",6200,5.2076083105017466
"CHEMBL455368","C=CC/C=C\C/C=C\CCCCCCCc1cccc(O)c1C(=O)O",5000,5.301029995663981
"CHEMBL3416315","O=S1(=O)C=C(Sc2nnnn2-c2ccccc2)c2ccccc21",6200,5.2076083105017466
"CHEMBL1602759","O=S1(=O)C=C(Sc2nnc(-c3ccccc3)o2)c2ccccc21",11000,4.9586073148417755
"CHEMBL3775671","COc1ccc(S(=O)(=O)ON=C2C=C(C)C(=O)C(C)=C2)cc1",1980,5.703334809738469
"CHEMBL1795619","O=c1c2cccnc2sn1Cc1ccc(Cl)c(Cl)c1",5320,5.274088367704953
"CHEMBL1795624","O=c1c2cccnc2sn1Cc1ccc(C(F)(F)F)cc1",5920,5.227678293277081
"CHEMBL1720939","CCOC(=O)c1ccc(-n2sc3ccccc3c2=O)cc1",12900,4.889410289700752
"CHEMBL2087789","Cc1cc(C)c2c(=O)n(C(=O)c3cccs3)sc2n1",6740,5.171340103464681
"CHEMBL1600114","CNc1nc(-c2ccccc2)[n+](-c2ccc(C)cc2)s1",2000,5.698970004336019
"CHEMBL1795618","O=c1c2cccnc2sn1Cc1ccc(Cl)cc1",5740,5.241088107602026
"CHEMBL1385343","Cc1ccc(-c2nc(N)s[n+]2-c2ccccc2)cc1",1800,5.7447274948966935
"CHEMBL3416335","CNc1nc(-c2ccccc2)[n+](-c2ccccc2)s1",1900,5.721246399047171
"CHEMBL318367","O=c1c2cccnc2sn1-c1ccc(Cl)cc1",5710,5.243363891754152
"CHEMBL491092","O=c1ccsn1-c1ccc(N2CCOCC2)cc1",9900,5.004364805402451
"CHEMBL1733695","Cc1csc(-n2sc3ccccc3c2=O)n1",8140,5.089375595110798
"CHEMBL106011","O=c1c2cccnc2sn1-c1ccc(F)cc1",5350,5.2716462179787715
"CHEMBL1391552","O=c1c2ccccc2sn1-c1nccs1",9350,5.029188389127483
"CHEMBL295316","CC1=CC(=O)c2c(O)cccc2C1=O",2000,5.698970004336019
"CHEMBL499919","O=c1ccsn1-c1ccncc1",3000,5.522878745280338
"CHEMBL487498","O=c1ccsn1-c1cccnc1",14400,4.841637507904751
"CHEMBL116438","COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O",400000,3.3979400086720384
"CHEMBL129964","O=C(/C=C(O)/C=C/c1ccc(O)c(O)c1)/C=C/c1ccc(O)c(O)c1",46000,4.337242168318427
"CHEMBL17205","COc1cc(/C=C2CCC/C(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O",111000,3.9546770212133424
"CHEMBL222328","O=C1/C(=C/c2ccc(O)c(Br)c2)CCC/C1=Cc1ccc(O)c(Br)c1",5000,5.301029995663981
"CHEMBL129148","O=C1/C(=C/c2ccc(O)c(O)c2)CCC/C1=Cc1ccc(O)c(O)c1",233000,3.632644078973981
"CHEMBL222573","O=C(/C=C(O)/C=C/c1ccc(O)c(C(=O)O)c1)/C=C/c1ccc(O)c(C(=O)O)c1",21000,4.677780705266081
"CHEMBL222543","O=C1/C(=C/c2ccc(O)c(C(=O)O)c2)CCC/C1=Cc1ccc(O)c(C(=O)O)c1",168000,3.7746907182741376
"CHEMBL221782","O=C(/C=C(O)/C=C/c1ccc(O)c(Br)c1)/C=C/c1ccc(O)c(Br)c1",33000,4.481486060122113
"CHEMBL4278758","CN1C(=O)/C(=C/c2ccccc2)C(=O)NC1=S",45000,4.346787486224657
"CHEMBL4289431","CN1C(=O)/C(=C/c2ccncc2)C(=O)NC1=S",50000,4.301029995663981
"CHEMBL4277382","Cc1cc(/C=C2C(=O)NC(=S)N(C)C2=O)c(C)n1C",14000,4.853871964321763
"CHEMBL4277102","Cc1ccc(N2C(=O)/C(=CC=Cc3ccco3)C(=O)NC2=S)cc1Cl",700,6.154901959985743
"CHEMBL2203537","CN1C(=O)/C(=C/c2c[nH]c3ccccc23)C(=O)NC1=S",50000,4.301029995663981
"CHEMBL4287521","CN1C(=O)/C(=C/c2ccc(N3CCOCC3)o2)C(=O)NC1=S",50000,4.301029995663981
"1b","O=C(/C(CCC/1)=C/C2=CC(F)=C(O)C=C2)C1=C\C3=CC=C(O)C(F)=C3",38900,4.410050398674293
"1c","O=C(/C(CCC/1)=C/C2=CC(Cl)=C(O)C=C2)C1=C\C3=CC=C(O)C(Cl)=C3",45500,4.341988603342888
"1d","O=C(/C(CCC/1)=C/C2=CC(I)=C(O)C=C2)C1=C\C3=CC=C(O)C(I)=C3",8100,5.0915149811213505
"1g","O=C(/C(CCC/1)=C/C2=CC(C)=C(O)C=C2)C1=C\C3=CC=C(O)C(C)=C3",26800,4.5718652059712115
"1i","O=C(/C(CCC/1)=C/C2=CC(Br)=C(O)C(Br)=C2)C1=C\C3=CC(Br)=C(O)C(Br)=C3",2300,5.638272163982407
"1n","O=C(/C(CSC/1)=C/C2=CC(Br)=C(O)C=C2)C1=C\C3=CC=C(O)C(Br)=C3",35000,4.455931955649725
"GO-Y030","O=C(/C=C/C1=CC(OCOC)=CC(OCOC)=C1)/C=C/C2=CC(OCOC)=CC(OCOC)=C2",1100,5.9586073148417755
"CTKA","O=C([O-])C1=CC=C(N2N=C(/C=C/C3=CC=C(O)C(OC)=C3)C=C2/C=C/C4=CC=C(O)C(OC)=C4)C=C1.[Na+]",22000,4.657577319177794
"A1","O=C(C1=CC=CC(N)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Cl)=C2",36540,4.437231456983481
"A2","O=C(C1=CC=CC(N)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Br)=C2",24640,4.608359296507612
"A3","O=C(C1=CC=CC(N)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(I)=C2",46680,4.3308691526266685
"A4","O=C(C1=CC=CC(C(N)=O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Cl)=C2",6710,5.1732774798310075
"A5","O=C(C1=CC=CC(C(N)=O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Br)=C2",22940,4.639406586434752
"A6","O=C(C1=CC=CC(C(N)=O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(I)=C2",870,6.060480747381382
"A7","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Cl)=C2",5840,5.233587152887601
"A8","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Br)=C2",1060,5.9746941347352305
"A9","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(I)=C2",10930,4.961379838050298
"A10","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Cl)=C2",50000,4.301029995663981
"A11","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Br)=C2",50000,4.301029995663981
"A12","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(I)=C2",50000,4.301029995663981
"A13","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Cl)=C2",50000,4.301029995663981
"A14","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Br)=C2",50000,4.301029995663981
"A15","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(I)=C2",1820,5.739928612014925
"A16","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Cl)=C2",50000,4.301029995663981
"A17","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Br)=C2",40510,4.392437756816412
"A18","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(I)=C2",43300,4.363512103646634
"A19","O=C(C1=CC=CC(N)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Cl)=C2",50000,4.301029995663981
"A20","O=C(C1=CC=CC(N)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Br)=C2",50000,4.301029995663981
"A21","O=C(C1=CC=CC(N)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(I)=C2",50000,4.301029995663981
"A22","O=C(C1=CC=CC(C(N)=O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Cl)=C2",50000,4.301029995663981
"A23","O=C(C1=CC=CC(C(N)=O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Br)=C2",50000,4.301029995663981
"A24","O=C(C1=CC=CC(C(N)=O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(I)=C2",22680,4.644356949779132
