"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL199946","CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc3ccccc3","8.283996656"
"CHEMBL248122","CNc1cc(\C=C\c2cccc(\C=C\c3ccc(OC)c(NC)c3)n2)ccc1OC","5.958607315"
"CHEMBL247727","COc1cc(\C=C\c2cc(C)cc(\C=C\c3ccc(O)c(OC)c3)n2)ccc1O","5.853871964"
"CHEMBL247530","COc1cc(\C=C\c2cc(Cl)cc(\C=C\c3ccc(O)c(OC)c3)n2)ccc1O","5.958607315"
"CHEMBL247929","COc1cc(\C=C\c2cc(Br)cc(\C=C\c3ccc(N)c(OC)c3)n2)ccc1N","5.958607315"
"CHEMBL200077","CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)Nc3ccc(F)cc3","6.744727495"
"CHEMBL247931","CNc1ccc(\C=C\c2cccc(\C=C\c3ccc(NC)c(OC)c3)c2)cc1OC","6.22184875"
"CHEMBL391205","COc1cc(\C=C\c2cccc(\C=C\c3ccc(N(C)C)c(OC)c3)n2)ccc1N(C)C","6.096910013"
"CHEMBL247674","CNc1ccc(\C=C\c2cccc(\C=C\c3ccc(NC)c(OC)c3)n2)cc1OC","6.301029996"
"CHEMBL195970","CC(C(=O)O)c1ccc(c(F)c1)c2cc(Cl)cc(Cl)c2","4.026872146"
"CHEMBL427548","OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(c(F)c3)c4ccc(F)cc4","4.237321436"
"CHEMBL231449","Clc1ccc(cc1)S(=O)(=O)N2[C@@H](COC(=O)N3CCN(CC3)C4CCCCC4)CC[C@H]2c5ccccc5","6.920818754"
"CHEMBL390889","Clc1ccc(cc1)S(=O)(=O)N2C(CCCOC(=O)NC3CCN(Cc4ccccc4)CC3)CCc5ccccc25","6.721246399"
"CHEMBL231647","Clc1ccc(cc1)S(=O)(=O)N2C(CCOC(=O)NC3CCN(Cc4ccccc4)CC3)CCc5ccccc25","6.045757491"
"CHEMBL425304","OCCN1CCN(CC1)C(=O)OCCC2CCc3ccccc3N2S(=O)(=O)c4ccc(Cl)cc4","6.055517328"
"CHEMBL231545","Clc1ccc(cc1)S(=O)(=O)N2C(CCCOC(=O)N3CCN(CC3)C4CCCCC4)CCc5ccccc25","6.744727495"
"CHEMBL196246","OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(cc3)C(F)(F)F","4.657577319"
